Year,Month,Day,Y
2003,6,23,-0.004782167
2003,6,24,-0.000296994
2003,6,25,-0.002379133
2003,6,26,0.015280361
2003,6,27,0.001883279
2003,6,30,0.004089132
2003,7,1,-0.007187962
2003,7,2,-0.002603731
2003,7,3,-0.007428389
2003,7,4,0.000127084
2003,7,7,0.001312253
2003,7,8,0.001099273
2003,7,9,-0.005041209
2003,7,10,0.001358119
2003,7,11,-0.000339357
2003,7,14,-0.002719009
2003,7,15,-0.001362282
2003,7,16,0.007427405
2003,7,17,0.004303804
2003,7,18,0.001262308
2003,7,21,-0.003622887
2003,7,22,0.006478232
2003,7,23,-0.002518999
2003,7,24,0.000378255
2003,7,25,-0.002777195
2003,7,28,0.006844884
2003,7,29,0.00041841
2003,7,30,0.008746411
2003,7,31,-0.000248839
2003,8,1,-0.004656392
2003,8,4,0.002746569
2003,8,5,-0.00295495
2003,8,6,0.00191547
2003,8,7,-0.010875128
2003,8,8,0.001344877
2003,8,11,-0.004926015
2003,8,12,0.00075943
2003,8,13,0.006054763
2003,8,14,-0.000880706
2003,8,15,0.000754939
2003,8,18,0.00184301
2003,8,19,-0.00033484
2003,8,20,-0.009759458
2003,8,21,-0.00427867
2003,8,22,-0.002593043
2003,8,25,-0.001661378
2003,8,26,0.001405961
2003,8,27,0.00267863
2003,8,28,-0.002636056
2003,8,29,-0.006534994
2003,9,1,-0.001458039
2003,9,2,-0.002105038
2003,9,3,-0.001894021
2003,9,4,0.006870223
2003,9,5,-0.00089903
2003,9,8,-0.000942709
2003,9,9,-0.002274728
2003,9,10,0.006339165
2003,9,11,-8.54E-05
2003,9,12,0.002601336
2003,9,15,0.001021624
2003,9,16,-0.009189473
2003,9,17,-0.000644288
2003,9,18,-0.010799708
2003,9,19,-0.011049354
2003,9,22,-0.017096705
2003,9,23,-0.004073508
2003,9,24,0.003760749
2003,9,25,-0.002236837
2003,9,26,0.003085525
2003,9,29,-0.007619255
2003,9,30,0.005205307
2003,10,1,-0.009578919
2003,10,2,0.001083913
2003,10,3,-0.000722478
2003,10,6,0.002571449
2003,10,7,-0.012376339
2003,10,8,-0.000912742
2003,10,9,-0.00398015
2003,10,10,-0.004180166
2003,10,13,0.003446457
2003,10,14,0.00370888
2003,10,15,0.003513018
2003,10,16,-0.004702024
2003,10,17,0.002057003
2003,10,20,0.007823556
2003,10,21,-0.006408967
2003,10,22,-0.006083217
2003,10,23,0.005079521
2003,10,24,-0.002513655
2003,10,27,-0.007855789
2003,10,28,-0.000553608
2003,10,29,-0.0026801
2003,10,30,0.002080012
2003,10,31,0.015122642
2003,11,3,0.011531024
2003,11,4,-0.01554142
2003,11,5,0.004192305
2003,11,6,0.000681865
2003,11,7,-0.00414381
2003,11,10,-0.013413771
2003,11,11,0.005580294
2003,11,12,0.000413822
2003,11,13,-0.005208225
2003,11,14,0.000739098
2003,11,17,0.00566365
2003,11,18,-0.006125523
2003,11,19,0.007456195
2003,11,20,-0.001468429
2003,11,21,-0.000321506
2003,11,24,0.003805511
2003,11,25,0.003791084
2003,11,26,-0.005714954
2003,11,27,0.001695032
2003,11,28,0.002605656
2003,12,1,4.57E-05
2003,12,2,-0.005080219
2003,12,3,-0.007276109
2003,12,4,0.000693049
